proddate;idno;cntry;dweight;stflife;health;dosprt;gndr
20.11.2024;53067;AT;0.32879528;8;1;2;2
20.11.2024;53091;AT;0.65053284;7;3;2;2
20.11.2024;53100;AT;0.9332868;9;3;2;2
20.11.2024;53131;AT;0.6670056;7;1;7;2
20.11.2024;53145;AT;1.538732;8;2;5;1
20.11.2024;53154;AT;0.9137663;10;1;7;1
20.11.2024;53159;AT;0.71400285;7;3;4;2
20.11.2024;53183;AT;0.3912093;8;2;0;2
20.11.2024;53193;AT;1.4504194;8;2;2;1
20.11.2024;53212;AT;1.2988544;10;2;1;1
20.11.2024;53236;AT;0.99414355;8;2;3;2
20.11.2024;53245;AT;0.6098981;7;2;2;2
20.11.2024;53278;AT;0.9484116;10;1;1;2
20.11.2024;53286;AT;0.48294935;10;2;1;2
20.11.2024;53298;AT;0.94756085;6;2;4;2
20.11.2024;53301;AT;0.6377034;6;3;4;1
20.11.2024;53315;AT;1.3101807;9;2;1;1
20.11.2024;53333;AT;0.6670056;10;1;5;1
20.11.2024;53359;AT;0.47378042;8;1;5;1
20.11.2024;53368;AT;0.44314238;8;3;6;2
20.11.2024;53377;AT;0.8841214;8;3;2;2
20.11.2024;53380;AT;0.8656501;8;3;0;2
20.11.2024;53384;AT;1.483479;8;3;7;2
20.11.2024;53390;AT;0.83893704;10;2;4;1
20.11.2024;53398;AT;0.43672693;7;2;5;1
20.11.2024;53415;AT;1.745898;9;1;7;1
20.11.2024;53421;AT;0.76981914;3;1;5;2
20.11.2024;53425;AT;0.45469967;6;3;0;2
20.11.2024;53458;AT;1.159529;9;2;2;1
20.11.2024;53467;AT;0.55606145;7;3;0;2
20.11.2024;53497;AT;1.2988544;9;1;7;1
20.11.2024;53502;AT;1.163636;8;4;4;1
20.11.2024;53509;AT;2.1640618;7;1;5;2
20.11.2024;53535;AT;0.4666434;6;2;5;2
20.11.2024;53536;AT;0.4512756;9;3;2;2
20.11.2024;53539;AT;0.6098981;6;2;3;1
20.11.2024;53567;AT;0.42728814;5;2;3;2
20.11.2024;53580;AT;0.93086755;9;1;3;2
20.11.2024;53620;AT;0.94756097;5;2;3;1
20.11.2024;53645;AT;0.47378042;3;4;0;1
20.11.2024;53647;AT;0.6989865;3;3;6;2
20.11.2024;53674;AT;1.0736351;7;3;0;2
20.11.2024;53691;AT;0.69250387;8;2;7;1
20.11.2024;53810;AT;1.4462273;8;2;1;2
20.11.2024;53820;AT;1.159529;7;1;5;2
20.11.2024;53821;AT;0.9408682;8;3;4;2
20.11.2024;53834;AT;1.0159594;9;1;5;2
20.11.2024;53841;AT;1.5597948;8;1;2;1
20.11.2024;53865;AT;0.96589863;10;1;6;1
20.11.2024;53877;AT;0.6670056;8;2;4;2
20.11.2024;53892;AT;0.45469967;9;2;4;2
20.11.2024;53922;AT;0.44314238;9;1;5;1
20.11.2024;53933;AT;0.54569674;7;3;1;1
20.11.2024;53938;AT;0.8567193;5;3;6;1
20.11.2024;53948;AT;0.8224978;9;3;3;2
20.11.2024;53957;AT;1.7682428;8;2;2;2
20.11.2024;53971;AT;0.53681755;8;3;2;2
20.11.2024;53989;AT;1.658749;8;1;5;1
20.11.2024;54005;AT;1.5605932;9;1;6;2
20.11.2024;54007;AT;0.51291066;8;2;4;1
20.11.2024;54024;AT;0.5403178;9;1;4;1
20.11.2024;54027;AT;0.51820904;9;2;7;2
20.11.2024;54029;AT;0.90654194;8;3;88;1
20.11.2024;54030;AT;0.87189186;10;1;3;1
20.11.2024;54035;AT;1.6209534;10;1;3;2
20.11.2024;54054;AT;1.112123;7;1;7;2
20.11.2024;54060;AT;0.65483123;10;3;4;2
20.11.2024;54081;AT;1.6681842;9;2;3;1
20.11.2024;54136;AT;1.0512191;8;2;0;2
20.11.2024;54159;AT;0.47378042;5;2;3;2
20.11.2024;54171;AT;1.2197962;9;1;6;2
20.11.2024;54172;AT;0.919781;8;3;0;1
20.11.2024;54175;AT;0.9408683;5;2;1;2
20.11.2024;54185;AT;2.780307;10;1;5;1
20.11.2024;54206;AT;0.71400285;7;1;2;2
20.11.2024;54236;AT;0.94756085;6;3;0;2
20.11.2024;54257;AT;1.1403683;10;3;0;2
20.11.2024;54260;AT;1.2931796;8;3;7;2
20.11.2024;54308;AT;1.0641344;5;4;3;2
20.11.2024;54342;AT;0.9926053;9;2;3;1
20.11.2024;54344;AT;0.4328124;10;2;7;1
20.11.2024;54364;AT;0.9750993;9;2;3;1
20.11.2024;54389;AT;2.0973425;7;3;7;1
20.11.2024;54394;AT;0.57678473;8;2;3;2
20.11.2024;54439;AT;1.181357;10;1;5;2
20.11.2024;54458;AT;1.159529;9;1;5;2
20.11.2024;54499;AT;0.873454;9;2;0;2
20.11.2024;54515;AT;1.5606704;10;1;7;1
20.11.2024;54554;AT;0.5811279;7;2;2;1
20.11.2024;54557;AT;0.5486541;7;3;0;1
20.11.2024;54571;AT;1.8817364;10;1;7;2
20.11.2024;54578;AT;0.9641516;7;2;5;1
20.11.2024;54588;AT;1.473217;8;2;7;1
20.11.2024;54675;AT;0.6494271;7;3;0;2
20.11.2024;54687;AT;0.7803352;7;1;2;1
20.11.2024;54697;AT;0.45327097;10;2;7;1
20.11.2024;54730;AT;0.4350144;5;3;0;2
20.11.2024;54735;AT;0.4991056;8;3;4;2
20.11.2024;54739;AT;0.90939933;9;1;0;1
20.11.2024;54744;AT;0.6494272;8;2;4;2
20.11.2024;54796;AT;0.6098981;8;4;0;1
20.11.2024;54801;AT;0.38490957;8;2;5;2
20.11.2024;54837;AT;0.5560615;5;1;0;2
20.11.2024;54871;AT;0.90939933;7;1;0;2
20.11.2024;54886;AT;0.842804;6;2;4;2
20.11.2024;54929;AT;0.41370142;9;2;4;1
20.11.2024;54930;AT;1.0968796;8;1;4;1
20.11.2024;54936;AT;0.3849096;4;1;5;1
20.11.2024;54937;AT;0.53681755;8;2;0;1
20.11.2024;54957;AT;0.40374362;10;3;0;2
20.11.2024;54962;AT;0.9332868;8;2;3;1
20.11.2024;55001;AT;0.45688316;7;4;0;1
20.11.2024;55024;AT;0.96694636;9;1;2;2
20.11.2024;55040;AT;0.3849096;7;3;1;2
20.11.2024;55046;AT;1.8296943;8;2;3;2
20.11.2024;55057;AT;0.47420582;10;1;3;2
20.11.2024;55064;AT;0.38490957;5;3;7;2
20.11.2024;55093;AT;2.3396924;6;2;7;2
20.11.2024;55120;AT;1.3094236;8;2;7;1
20.11.2024;55127;AT;0.68042654;8;1;5;2
20.11.2024;55129;AT;1.1121229;8;2;5;2
20.11.2024;55158;AT;1.0736351;8;1;3;1
20.11.2024;55187;AT;0.5811279;3;2;0;2
20.11.2024;55196;AT;0.7272528;9;1;0;1
20.11.2024;55197;AT;1.9338928;8;2;2;2
20.11.2024;55206;AT;0.69352174;0;5;0;1
20.11.2024;55208;AT;1.0702981;7;2;4;2
20.11.2024;55232;AT;0.90654194;8;1;2;2
20.11.2024;55248;AT;0.40374362;9;2;7;2
20.11.2024;55261;AT;0.6494272;8;3;0;1
20.11.2024;55270;AT;0.7366085;8;2;0;2
20.11.2024;55271;AT;0.83893704;9;2;3;2
20.11.2024;55274;AT;0.69352174;7;1;5;2
20.11.2024;55301;AT;0.69250387;8;1;3;2
20.11.2024;55320;AT;0.46410987;8;2;5;1
20.11.2024;55343;AT;0.55908823;7;2;0;2
20.11.2024;55366;AT;0.43594596;4;3;3;2
20.11.2024;55370;AT;1.1121229;8;2;3;2
20.11.2024;55387;AT;0.47378042;8;2;4;2
20.11.2024;55421;AT;1.1181765;9;3;4;1
20.11.2024;55451;AT;0.65483123;7;3;1;2
20.11.2024;55457;AT;0.4991056;7;3;0;2
20.11.2024;55471;AT;0.41018692;6;2;7;2
20.11.2024;55483;AT;0.9025512;8;2;7;2
20.11.2024;55504;AT;0.98635733;10;1;4;2
20.11.2024;55527;AT;0.71400285;9;1;5;2
20.11.2024;55547;AT;0.4073112;8;2;1;2
20.11.2024;55548;AT;1.364956;9;1;4;2
20.11.2024;55551;AT;1.4504194;8;2;1;2
20.11.2024;55553;AT;0.9025512;8;2;2;2
20.11.2024;55555;AT;0.50232214;9;1;7;1
20.11.2024;55585;AT;1.3608531;10;2;0;2
20.11.2024;55600;AT;0.9245242;9;1;3;2
20.11.2024;55626;AT;1.7134386;7;1;6;2
20.11.2024;55650;AT;0.6670056;8;2;7;2
20.11.2024;55716;AT;0.5403178;7;1;5;1
20.11.2024;55726;AT;0.48490664;7;4;0;2
20.11.2024;55741;AT;0.41601872;9;2;1;1
20.11.2024;55758;AT;0.96589863;8;2;7;2
20.11.2024;55813;AT;1.1547288;7;2;5;1
20.11.2024;55816;AT;0.94756085;8;2;3;1
20.11.2024;55858;AT;1.9317974;10;1;5;2
20.11.2024;55919;AT;0.8146224;5;2;6;1
20.11.2024;55939;AT;1.0806355;9;2;2;2
